stamp;284;225;252;244;226;302;265;274;231;258;224;233;235;278;218;293;220;237;273;266;230;329;330;228;246;222;281;248;219;236;251;216
2017-11-30T04:32:00.000Z;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-11-30T04:33:00.000Z;56;58;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-11-30T04:34:00.000Z;55;57;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-11-30T04:35:00.000Z;54;56;56;58;;;;;;;;;;;;;;;;;;;;;;;58;;;;;
2017-11-30T04:36:00.000Z;53;55;55;57;58;;;;;;;;;;;;;;;;;;;;;;57;;;;;
2017-11-30T04:37:00.000Z;52;54;54;56;57;58;;;;;;;;;;;;;;;;;;;;;56;58;;;;
2017-11-30T04:38:00.000Z;51;53;53;55;56;57;58;;;;;;;;;;;;;;;;;;;;55;57;;;;
2017-11-30T04:39:00.000Z;50;52;52;54;55;56;57;58;;;;;;;;;;;;;;;;;;;54;56;;;;
2017-11-30T04:40:00.000Z;49;51;51;53;54;55;56;57;;;;;;;;;;;;;;;;;;;53;55;58;;;
2017-11-30T04:41:00.000Z;48;50;50;52;53;54;55;56;58;58;;;;;;;;;;;;;;;;;52;54;57;;;
2017-11-30T04:42:00.000Z;47;49;49;51;52;53;54;55;57;57;;;;;;;;;;;;;;;;;51;53;56;59;;
2017-11-30T04:43:00.000Z;46;48;48;50;51;52;53;54;56;56;58;;;;;;;;;;;;;;;;50;52;55;58;;
2017-11-30T04:44:00.000Z;45;47;47;49;50;51;52;53;55;55;57;58;;;;;;;;;;;;;;;49;51;54;57;58;
2017-11-30T04:45:00.000Z;44;46;46;48;49;50;51;52;54;54;56;57;58;;;;;;;;;;;;;;48;50;53;56;57;
2017-11-30T04:46:00.000Z;43;45;45;47;48;49;50;51;53;53;55;56;57;;58;;;;;;;;;;;;47;49;52;55;56;
2017-11-30T04:47:00.000Z;42;44;44;46;47;48;49;50;52;52;54;55;56;;57;58;;;;;;;;;;;46;48;51;54;55;
2017-11-30T04:48:00.000Z;41;43;43;45;46;47;48;49;51;51;53;54;55;;56;57;58;58;;;;;;;;;45;47;50;53;54;
2017-11-30T04:49:00.000Z;40;42;42;44;45;46;47;48;50;50;52;53;54;;55;56;57;57;;;;;;;;;44;46;49;52;53;
2017-11-30T04:50:00.000Z;39;41;41;43;44;45;46;47;49;49;51;52;53;;54;55;56;56;58;;;;;;;;43;45;48;51;52;
2017-11-30T04:51:00.000Z;38;40;40;42;43;44;45;46;48;48;50;51;52;;53;54;55;55;57;58;;;;;;;42;44;47;50;51;
2017-11-30T04:52:00.000Z;37;39;39;41;42;43;44;45;47;47;49;50;51;;52;53;54;54;56;57;58;;;;;;41;43;46;49;50;
2017-11-30T04:53:00.000Z;36;38;38;40;41;42;43;44;46;46;48;49;50;;51;52;53;53;55;56;57;;;;;;40;42;45;48;49;
2017-11-30T04:54:00.000Z;35;37;37;39;40;41;42;43;45;45;47;48;49;;50;51;52;52;54;55;56;;;;;;39;41;44;47;48;
2017-11-30T04:55:00.000Z;34;36;36;38;39;40;41;42;44;44;46;47;48;;49;50;51;51;53;54;55;;;;;;38;40;43;46;47;
2017-11-30T04:56:00.000Z;33;35;35;37;38;39;40;41;43;43;45;46;47;;48;49;50;50;52;53;54;;;58;;;37;39;42;45;46;
2017-11-30T04:57:00.000Z;32;34;34;36;37;38;39;40;42;42;44;45;46;;47;48;49;49;51;52;53;;;57;;;36;38;41;44;45;
